d_model,dim_feedforward,num_epochs,batch_size,lr,weight_decay,mean_acc,std_acc,acc_seed0,acc_seed1,acc_seed2,acc_seed3,acc_seed4
128,128,100,512,0.001,0.001,0.9150,0.0660,0.9598,0.7930,0.9547,0.8978,0.9697
16,256,100,64,0.001,0.0,0.9592,0.0593,0.9861,0.9922,0.9888,0.9883,0.8406
16,64,100,256,0.0005,0.0005,0.9897,0.0024,0.9876,0.9910,0.9935,0.9867,0.9897
128,512,200,128,0.003,0.0001,0.9384,0.0310,0.9778,0.8956,0.9185,0.9306,0.9696
32,128,200,256,0.0005,0.0005,0.9767,0.0033,0.9800,0.9803,0.9713,0.9762,0.9758
32,128,50,256,0.001,0.001,0.9847,0.0084,0.9704,0.9819,0.9920,0.9855,0.9939
32,64,200,128,0.0001,0.0005,0.9859,0.0064,0.9888,0.9744,0.9863,0.9859,0.9940
16,256,200,512,0.001,0.001,0.9862,0.0041,0.9874,0.9870,0.9872,0.9906,0.9785
128,512,200,64,0.001,0.0,0.9786,0.0030,0.9814,0.9762,0.9800,0.9815,0.9741
16,256,50,256,0.0001,0.001,0.9441,0.0095,0.9409,0.9627,0.9372,0.9424,0.9372
128,256,100,128,0.0001,0.001,0.9770,0.0070,0.9755,0.9843,0.9690,0.9860,0.9701
128,512,200,128,0.001,0.0001,0.9828,0.0051,0.9821,0.9879,0.9861,0.9844,0.9735
64,512,100,512,0.001,0.0001,0.9637,0.0123,0.9819,0.9528,0.9720,0.9483,0.9634
16,128,200,256,0.0005,0.0,0.9868,0.0061,0.9814,0.9806,0.9836,0.9947,0.9934
128,64,100,512,0.0001,0.0005,0.9654,0.0096,0.9656,0.9785,0.9690,0.9649,0.9488
64,128,50,64,0.0001,0.0,0.9825,0.0029,0.9842,0.9817,0.9778,0.9825,0.9864
16,64,200,64,0.0001,0.0005,0.9846,0.0031,0.9857,0.9848,0.9882,0.9788,0.9854
16,64,100,512,0.001,0.0005,0.9848,0.0072,0.9844,0.9927,0.9714,0.9879,0.9877
16,128,200,512,0.003,0.001,0.9571,0.0376,0.9668,0.9908,0.8860,0.9854,0.9566
32,64,100,512,0.003,0.001,0.9858,0.0099,0.9931,0.9902,0.9891,0.9661,0.9901
32,64,200,512,0.001,0.0,0.9403,0.0657,0.9596,0.9688,0.9846,0.9785,0.8100
